cast,crew,date,link,playwright,playwright_formatted,playwright_formatted_long,poster_thumb_tag,run,season,title,type,venue,year_title
Emma Dearden/Alex Mawby/Verity Spencer/Jacob Hayes/Emily Brady/,Charlie Sassienie/Matt Miller/Hannah Pupkewitz/,2011-10-26,/years/11_12/abigails_party/,Mike Leigh,by Mike Leigh,by Mike Leigh,<a href='/years/11_12/abigails_party/'><img src='https://photos.smugmug.com/photos/i-6HRG5mq/0/2a945fc6/128x162/i-6HRG5mq-128x162.jpg' class='search-result-poster-thumb' alt='Abigail's Party poster' /></a>,26-29 October 2011,In House,Abigail's Party,show,New Theatre,2011-12
NA,Eve Wersocki-Morris/Joseph Heil/Joseph Heil/,2012-06-11,/years/11_12/accidental_loss_of_a_baby/,Eve Wersocki-Morris,by Eve Wersocki-Morris,by Eve Wersocki-Morris,<a href='/years/11_12/accidental_loss_of_a_baby/'><img src='https://photos.smugmug.com/photos/i-gRVQ597/0/b39a3af6/128x162/i-gRVQ597-128x162.jpg' class='search-result-poster-thumb' alt='Accidental Loss of a Baby poster' /></a>,11-12 June 2012,UNCUT,Accidental Loss of a Baby,show,Trent/Performing Arts Studio,2011-12
Ajay Stevenson/Jess Courtney/Alice Hildreth/Jono Lake/Lizzie Frainier/,Dave Porter/Lawrence Bolton/Emma-Louise Amanshia/Joseph Heil/Joseph Heil/Tessa Denney/,2012-02-22,/years/11_12/all_my_sons/,Arthur Miller,by Arthur Miller,by Arthur Miller,<a href='/years/11_12/all_my_sons/'><img src='https://photos.smugmug.com/photos/i-fK7rLS3/0/2c5456b7/128x162/i-fK7rLS3-128x162.jpg' class='search-result-poster-thumb' alt='All My Sons poster' /></a>,22-25 February 2012,In House,All My Sons,show,New Theatre,2011-12
Emma McDonald/Ajay Stevenson/,Dave Porter/,2012-05-14,/years/11_12/antigone/,Sophocles,by Sophocles,by Sophocles,<a href='/years/11_12/antigone/'><img src='https://photos.smugmug.com/photos/i-rPwWNW3/0/56e01d43/128x162/i-rPwWNW3-128x162.jpg' class='search-result-poster-thumb' alt='Antigone poster' /></a>,14-15 May 2012,UNCUT,Antigone,show,The Three Wheatsheaves,2011-12
NA,NA,2012-02-11,/years/11_12/anything_to_declare/,null,Playwright Unknown,Playwright Unknown,<a href='/years/11_12/anything_to_declare/'><img src='https://photos.smugmug.com/photos/i-4RCMZB9/0/dd3165bd/128x162/i-4RCMZB9-128x162.jpg' class='search-result-poster-thumb' alt='Anything to Declare? poster' /></a>,11 February 2012,External,Anything to Declare?,show,New Theatre,2011-12
Georgina Norie/Sophie Holmes/Sarah Head/Lydia Scott/Zoe Moulton/Mary-Rose Clark/,Emily Heaton/Sophie Hiscock/Dasha Karzunina/Eloise Hyde/Emma-Louise Amanshia/Emma McDonald/,2011-10-26,/years/11_12/be_my_baby/,Amanda Whittington,by Amanda Whittington,by Amanda Whittington,<a href='/years/11_12/be_my_baby/'><img src='https://photos.smugmug.com/photos/i-HNpn7GJ/0/d0d7daa0/128x162/i-HNpn7GJ-128x162.jpg' class='search-result-poster-thumb' alt='Be My Baby poster' /></a>,26-29 October 2011,In House,Be My Baby,show,New Theatre,2011-12
Matt Miller/George Holder/Laura Gallop/Emma Clark/,Alex Mawby/,2012-02-05,/years/11_12/becoming_a_jackal/,Alex Mawby,by Alex Mawby,by Alex Mawby,<a href='/years/11_12/becoming_a_jackal/'><img src='https://photos.smugmug.com/photos/i-NRSqdxF/0/c35407bc/128x162/i-NRSqdxF-128x162.jpg' class='search-result-poster-thumb' alt='Becoming A Jackal poster' /></a>,5-7 February 2012,UNCUT,Becoming A Jackal,show,Trent/Performing Arts Studio,2011-12
James Townsend/Conrad Cohen/Nick Jeffrey/Jono Lake/Amy Brough-Aikin/Flo Hapgood/Suzie Roope/Ellie Cawthorne/,James McAndrew/Nick Stevenson/Chris Walters/Grace Lowe/Jess Courtney/Elin Stenner-Matthews/Chelsea Jayne Wright/Bora Hunja/Lawrence Bolton/Emily Heaton/,2011-11-30,/years/11_12/bed/,Jim Cartwright,by Jim Cartwright,by Jim Cartwright,<a href='/years/11_12/bed/'><img src='https://photos.smugmug.com/photos/i-2NBKC8r/0/14ed6b00/128x162/i-2NBKC8r-128x162.jpg' class='search-result-poster-thumb' alt='Bed poster' /></a>,30 November-3 December 2011,In House,Bed,show,New Theatre,2011-12
James Townsend/Conrad Cohen/Nick Jeffrey/Jono Lake/Amy Brough-Aikin/Flo Hapgood/Suzie Roope/Ellie Cawthorne/,James McAndrew/Nick Stevenson/Chris Walters/Grace Lowe/Jess Courtney/Philip Geller/Elin Stenner-Matthews/Chelsea Jayne Wright/Bora Hunja/Matt Leventhall/Chelsea Jayne Wright/Gareth Morris/Nick Stevenson/Emily Heaton/,2012-05-02,/years/11_12/bed_lakeside/,Jim Cartwright,by Jim Cartwright,by Jim Cartwright,<a href='/years/11_12/bed_lakeside/'><img src='https://photos.smugmug.com/photos/i-FbV7njc/0/664d4650/128x162/i-FbV7njc-128x162.jpg' class='search-result-poster-thumb' alt='Bed poster' /></a>,2-5 May 2012,Lakeside,Bed,show,Djanogly Theatre,2011-12
Topher Collins/,NA,2012-06-05,/years/11_12/caddy_come_home/,Peter Cary,by Peter Cary,by Peter Cary,<a href='/years/11_12/caddy_come_home/'><img src='https://photos.smugmug.com/photos/i-KL67bLS/0/ea216bd2/128x162/i-KL67bLS-128x162.jpg' class='search-result-poster-thumb' alt='Caddy Come Home poster' /></a>,5-8 June 2012,External,Caddy Come Home,show,New Theatre,2011-12
Will Randall/Laurence Jennings/Freddie Garnett/Hugh Williams/James Bentley/Gus Miller/Suzie Roope/Emma Dearden/Rosie Tressler/Lara Tysseling/,James McAndrew/Nick Stevenson/Chelsea Jayne Wright/Chelsea Jayne Wright/Gareth Morris/Bora Hunja/Will Pimblett/Emily Heaton/,2012-06-13,/years/11_12/charley_s_aunt/,Brandon Thomas,by Brandon Thomas,by Brandon Thomas,<a href='/years/11_12/charley_s_aunt/'><img src='https://photos.smugmug.com/photos/i-mxw55Sk/0/e5364904/128x162/i-mxw55Sk-128x162.jpg' class='search-result-poster-thumb' alt='Charley's Aunt poster' /></a>,13-16 June 2012,In House,Charley's Aunt,show,New Theatre,2011-12
NA,NA,2012-02-12,/years/11_12/children_of_the_underworld/,null,Playwright Unknown,Playwright Unknown,<a href='/years/11_12/children_of_the_underworld/'><img src='https://photos.smugmug.com/photos/i-SdbtBqR/0/dcb36aeb/128x162/i-SdbtBqR-128x162.jpg' class='search-result-poster-thumb' alt='Children Of The Underworld poster' /></a>,12-13 February 2012,UNCUT,Children Of The Underworld,show,Open Air/University Park Campus,2011-12
Sam Hayward/Rosanna Stoker/Genevieve Cunnell/Ollie Silver/,Matt Wilks/Elin Stenner-Matthews/Roger Smissen/Will Pimblett/Tessa Denney/Joseph Heil/Alex Harverson/Chris Walters/Nicola Fox/,2012-03-27,/years/11_12/closer/,Patrick Marber,by Patrick Marber,by Patrick Marber,<a href='/years/11_12/closer/'><img src='https://photos.smugmug.com/photos/i-b8NPVPH/0/a8843eb9/128x162/i-b8NPVPH-128x162.jpg' class='search-result-poster-thumb' alt='Closer poster' /></a>,27-30 March 2012,In House,Closer,show,New Theatre,2011-12
Tom Barnes/William Andrew/Danielle Wright/Nick Slater/Rosie Cave/Hugh Chichester/Alice Turnbull/Jonny Fitzpatrick/Adna Duherich/Lawrence Court/Verity Spencer/Tony Strain/,Becky Roberts/,2011-12-11,/years/11_12/disastrous_dates/,Becky Roberts,by Becky Roberts,by Becky Roberts,<a href='/years/11_12/disastrous_dates/'><img src='https://photos.smugmug.com/photos/i-fqKFCWV/0/8c4f9458/128x162/i-fqKFCWV-128x162.jpg' class='search-result-poster-thumb' alt='Disastrous Dates poster' /></a>,11-12 December 2011,UNCUT,Disastrous Dates,show,The Den,2011-12
Alex Mawby/Georgina Norie/Richard Hill/Laura Gallop/Alice Noone/Chris Read/,Tom Barnes/Emily Davenport/Dan Turek/Lydia Scott/Lawrence Bolton/Tom Walsh/Jess Courtney/Alex Jamieson/Will Pimblett/Jenny Kohnhorst/Sam Wilcock/,2012-03-07,/years/11_12/faust_is_dead/,Mark Ravenhill,by Mark Ravenhill,by Mark Ravenhill,<a href='/years/11_12/faust_is_dead/'><img src='https://photos.smugmug.com/photos/i-LcwmWhf/0/06328d58/128x162/i-LcwmWhf-128x162.jpg' class='search-result-poster-thumb' alt='Faust is Dead poster' /></a>,7-10 March 2012,In House,Faust is Dead,show,New Theatre,2011-12
NA,NA,2011-10-20,/years/11_12/freshers_fringe/,null,Various Writers,Various Writers,<a href='/years/11_12/freshers_fringe/'><img src='https://photos.smugmug.com/photos/i-dVFFLDd/0/805f6552/128x162/i-dVFFLDd-128x162.jpg' class='search-result-poster-thumb' alt='Freshers' Fringe poster' /></a>,20-22 October 2011,In House,Freshers' Fringe,show,New Theatre,2011-12
Jack Finger/Alice Ratcliffe/Eve Wersocki-Morris/Lyle Fulton/,Craig Willman/Chami Dhillon/Jin Matsutoja/Jin Matsutoja/Will Pimblett/Will Pimblett/Emma McDonald/Rebecca René/Lizzie Frainier/Alice Child/Emma-Louise Amanshia/Emma McDonald/Alex Jamieson/Steph Warren/James Watson/Joseph Heil/James Bentley/Emily Davenport/Bryony Blackler/,2012-03-21,/years/11_12/innocent_infidelity/,C. J. Willman,by C. J. Willman,by C. J. Willman,<a href='/years/11_12/innocent_infidelity/'><img src='https://photos.smugmug.com/photos/i-KR2cTRG/0/b33d8f61/128x162/i-KR2cTRG-128x162.jpg' class='search-result-poster-thumb' alt='Innocent Infidelity poster' /></a>,21-24 March 2012,In House,Innocent Infidelity,show,New Theatre,2011-12
Hugh Purves/Zoe Plummer/Tom Sheldon/Zoe Cawardine/John Bell/,Jake Leonard/Brendan Retter/Bryony Blackler/Roger Smissen/Dan Turek/,2011-11-02,/years/11_12/look_back_in_anger/,John Osborne,by John Osborne,by John Osborne,<a href='/years/11_12/look_back_in_anger/'><img src='https://photos.smugmug.com/photos/i-73rRQ9p/0/5925dd5e/128x162/i-73rRQ9p-128x162.jpg' class='search-result-poster-thumb' alt='Look Back in Anger poster' /></a>,2-5 November 2011,In House,Look Back in Anger,show,New Theatre,2011-12
Sam Warren/Florence Cave/Jonny Fitzpatrick/James Bentley/Lucy Dollman/Topher Collins/Sophie Perry/Richard Hill/Lara Tysseling/Abby Robinson/Gavi Morris/Rupert Bradshaw/,Tom Barnes/Emily Davenport/Emily Davenport/James Bentley/Kathe Whitaker/Lauren Grant/Roger Smissen/Lydia Scott/,2011-11-23,/years/11_12/macbeth/,William Shakespeare,by William Shakespeare,by William Shakespeare,<a href='/years/11_12/macbeth/'><img src='https://photos.smugmug.com/photos/i-rgd9G4S/0/622530e4/128x162/i-rgd9G4S-128x162.jpg' class='search-result-poster-thumb' alt='Macbeth poster' /></a>,23-26 November 2011,In House,Macbeth,show,New Theatre,2011-12
Nick Jeffrey/Liz Stevens/Genevieve Cunnell/,Tom Barnes/Matt Wilks/Elin Stenner-Matthews/Chris Walters/Roger Smissen/,2012-08-06,/years/11_12/porphyria/,C. J. Willman,by C. J. Willman,by C. J. Willman,<a href='/years/11_12/porphyria/'><img src='https://photos.smugmug.com/photos/i-bxqQf9h/0/bed7f4bc/128x162/i-bxqQf9h-128x162.jpg' class='search-result-poster-thumb' alt='Porphyria poster' /></a>,6-20 August 2012,Edinburgh,Porphyria,show,ZOO Southside,2011-12
Rich Davis/Grace Beckett/Emma McDonald/Emma Clark/Alice Ratcliffe/Andy Routledge/Lizzie Frainier/Tom Dineen/Oli Kiddell/Emma-Louise Amanshia/Ginny Lee/Josh Kaiser/Nick Barker/,Peter Bradley/Lawrence Bolton/Kathryn Feavers/Wawa Hunja/Jess Courtney/Jess Courtney/Dan Turek/Dan Turek/,2011-12-13,/years/11_12/rosencrantz_guildenstern_are_dead/,Tom Stoppard,by Tom Stoppard,by Tom Stoppard,<a href='/years/11_12/rosencrantz_guildenstern_are_dead/'><img src='https://photos.smugmug.com/photos/i-bLpMSkr/0/193be9eb/128x162/i-bLpMSkr-128x162.jpg' class='search-result-poster-thumb' alt='Rosencrantz and Guildenstern Are Dead poster' /></a>,13-16 December 2011,In House,Rosencrantz and Guildenstern Are Dead,show,New Theatre,2011-12
Topher Collins/Zoe Moulton/Ben Hollands/Nick Jeffrey/,Andy Routledge/Nick Barker/Alex Jamieson/Joseph Heil/Joseph Heil/,2012-05-09,/years/11_12/the_39_steps/,Patrick Barlow,by Patrick Barlow,by Patrick Barlow,<a href='/years/11_12/the_39_steps/'><img src='https://photos.smugmug.com/photos/i-LnbDFKk/0/ee8648bf/128x162/i-LnbDFKk-128x162.jpg' class='search-result-poster-thumb' alt='The 39 Steps poster' /></a>,9-12 May 2012,In House,The 39 Steps,show,New Theatre,2011-12
Ben Williamson/Cressida McGill/,Ellie Cawthorne/Lydia Scott/Will Pimblett/Natasha Mortimer/,2012-03-14,/years/11_12/the_beauty_queen_of_leenane/,Martin McDonagh,by Martin McDonagh,by Martin McDonagh,<a href='/years/11_12/the_beauty_queen_of_leenane/'><img src='https://photos.smugmug.com/photos/i-NTKL53t/0/00e4a265/128x162/i-NTKL53t-128x162.jpg' class='search-result-poster-thumb' alt='The Beauty Queen of Leenane poster' /></a>,14-17 March 2012,In House,The Beauty Queen of Leenane,show,New Theatre,2011-12
Chris Walters/Gus Miller/,Liz Stevenson/Emily Heaton/,2012-05-07,/years/11_12/the_dumb_waiter/,Harold Pinter,by Harold Pinter,by Harold Pinter,<a href='/years/11_12/the_dumb_waiter/'><img src='https://photos.smugmug.com/photos/i-W6wSwHK/0/6aee9405/128x162/i-W6wSwHK-128x162.jpg' class='search-result-poster-thumb' alt='The Dumb Waiter poster' /></a>,7-8 May 2012,UNCUT,The Dumb Waiter,show,null,2011-12
Nicola Fox/Ginny Lee/Abby Robinson/Lauren Grant/Lucy Dollman/Roger Smissen/,Kathryn Feavers/Wawa Hunja/Emma-Louise Amanshia/Kathryn Feavers/Joseph Heil/Joseph Heil/,2012-02-29,/years/11_12/the_gut_girls/,Sarah Daniels,by Sarah Daniels,by Sarah Daniels,<a href='/years/11_12/the_gut_girls/'><img src='https://photos.smugmug.com/photos/i-fhz7NF2/0/50c478e9/128x162/i-fhz7NF2-128x162.jpg' class='search-result-poster-thumb' alt='The Gut Girls poster' /></a>,29 February-3 March 2012,In House,The Gut Girls,show,New Theatre,2011-12
Conrad Cohen/Robert Leventhall/Jess Courtney/Kerry Stevenson/Georgina Norie/,Adam H. Wells/Jake Leonard/Alice Ratcliffe/,2012-08-02,/years/11_12/the_hand_me_down_people/,Adam H. Wells,by Adam H. Wells,by Adam H. Wells,<a href='/years/11_12/the_hand_me_down_people/'><img src='https://photos.smugmug.com/photos/i-Zx7r3tM/0/0419e6fb/128x162/i-Zx7r3tM-128x162.jpg' class='search-result-poster-thumb' alt='The Hand-Me-Down People poster' /></a>,2-27 August 2012,Edinburgh,The Hand-Me-Down People,show,C nova,2011-12
Tom Walsh/Sam Warren/Sam Greenwood/Lucy Bromilow/Nick Slater/Jacob Hayes/Jonny Fitzpatrick/Will Hedges/Tom Dineen/Connor Johnson/John Bell/Eoin Buckley/Alix Hattenstone/,Bridie Rollins/Tess Monro-Somerville/Martha Wilson/Dan Turek/,2012-05-16,/years/11_12/the_history_boys/,Alan Bennett,by Alan Bennett,by Alan Bennett,<a href='/years/11_12/the_history_boys/'><img src='https://photos.smugmug.com/photos/i-vgGbjFB/0/ccd1b5ac/128x162/i-vgGbjFB-128x162.jpg' class='search-result-poster-thumb' alt='The History Boys poster' /></a>,16-19 May 2012,In House,The History Boys,show,New Theatre,2011-12
Tom Walsh/James Pardon/Sam Hayward/Jack Finger/Rosanna Stoker/Jess Courtney/Becca Clee/,Matt Wilks/Elin Stenner-Matthews/Nicola Fox/Chris Walters/,2011-11-16,/years/11_12/the_hothouse/,Harold Pinter,by Harold Pinter,by Harold Pinter,<a href='/years/11_12/the_hothouse/'><img src='https://photos.smugmug.com/photos/i-tsHQmgx/0/cf77f3d0/128x162/i-tsHQmgx-128x162.jpg' class='search-result-poster-thumb' alt='The Hothouse poster' /></a>,16-19 November 2011,In House,The Hothouse,show,New Theatre,2011-12
NA,NA,2012-03-19,/years/11_12/the_lesson/,Eugène Ionesco,by Eugène Ionesco,by Eugène Ionesco,<a href='/years/11_12/the_lesson/'><img src='https://photos.smugmug.com/photos/i-GM3TNcM/0/1507d21e/128x162/i-GM3TNcM-128x162.jpg' class='search-result-poster-thumb' alt='The Lesson poster' /></a>,19-20 March 2012,UNCUT,The Lesson,show,Hugh Stuart Library,2011-12
Jenny Kohnhorst/Henry Blanchard/Laura Kaye Thomson/,Adam H. Wells/Rob Greenman/Lydia Scott/Kathryn Feavers/Emma-Louise Amanshia/Joseph Heil/Fran Rylands/,2012-02-15,/years/11_12/the_off_white_horse/,Adam H. Wells,by Adam H. Wells,by Adam H. Wells,<a href='/years/11_12/the_off_white_horse/'><img src='https://photos.smugmug.com/photos/i-9qnRcDS/0/0d76c500/128x162/i-9qnRcDS-128x162.jpg' class='search-result-poster-thumb' alt='The Off White Horse poster' /></a>,15-18 February 2012,In House,The Off White Horse,show,New Theatre,2011-12
NA,Peter Bradley/Hugh Purves/,2012-06-17,/years/11_12/the_tempest/,William Shakespeare,by William Shakespeare,by William Shakespeare,NA,17-18 June 2012,UNCUT,The Tempest,show,Open Air/University Park Campus,2011-12
Robert Leventhall/Ashiana Pradhan/Matt Miller/Tom Sheldon/Jake Leonard/Becca Clee/Jenny Kohnhorst/Dani Jeyes/,Adam H. Wells/Rob Greenman/Joseph Heil/Joseph Heil/,2012-05-02,/years/11_12/too_far_away/,Adam H. Wells,by Adam H. Wells,by Adam H. Wells,<a href='/years/11_12/too_far_away/'><img src='https://photos.smugmug.com/photos/i-n8VBLKk/0/a07b7f91/128x162/i-n8VBLKk-128x162.jpg' class='search-result-poster-thumb' alt='Too Far Away poster' /></a>,2-5 May 2012,In House,Too Far Away,show,New Theatre,2011-12
Eloise Hyde/Alix Hattenstone/Sangeeta Jheinga/Matt Miller/Eve Wersocki-Morris/Tom Sheldon/Olivia Hattenstone/Matthew Llewellyn/William Warren/,William Warren/Lydia Scott/,2011-12-05,/years/11_12/tread_softly/,William Warren,by William Warren,by William Warren,NA,5-6 December 2011,UNCUT,Tread Softly,show,The Den,2011-12
Richard Hill/Nick Slater/Phil Damms/Sam Peake/Tom Selves/Tom Sheldon/Eoin Buckley/Andrew Sambell/Josh Blake/Lucy Dollman/,Nadia Amico/Alex Mawby/Laura Gallop/Lydia Scott/Joseph Heil/Page Phillips Harrington/Natasha Mortimer/Liz Cornwell/Will Pimblett/Harry Bradley/,2013-03-19,/years/12_13/a_clockwork_orange/,Anthony Burgess,by Anthony Burgess,by Anthony Burgess,<a href='/years/12_13/a_clockwork_orange/'><img src='https://photos.smugmug.com/photos/i-rCCdDhq/0/13f64951/128x162/i-rCCdDhq-128x162.jpg' class='search-result-poster-thumb' alt='A Clockwork Orange poster' /></a>,19-22 March 2013,In House,A Clockwork Orange,show,New Theatre,2012-13
Freddie Garnett/Emma Dearden/Tim Meredith/Sam Greenwood/Verity Spencer/Zoe Moulton/Nick Slater/Nick Jeffrey/,Ellie Cawthorne/Chelsea Jayne Wright/Natasha Mortimer/Tom Selves/Rory O'Shea/Joseph Heil/Lydia Scott/Wawa Hunja/Emily Heaton/Andy Routledge/Rhianna Bennett/Liv Clark/Ben Hollands/Rory O'Shea/Claire Lennox/,2012-11-14,/years/12_13/black_comedy/,Peter Shaffer,by Peter Shaffer,by Peter Shaffer,<a href='/years/12_13/black_comedy/'><img src='https://photos.smugmug.com/photos/i-LFgJS8X/0/97a3073f/128x162/i-LFgJS8X-128x162.jpg' class='search-result-poster-thumb' alt='Black Comedy poster' /></a>,14-17 November 2012,In House,Black Comedy,show,New Theatre,2012-13
Alex Hollingsworth/Nick Walters/Genevieve Cunnell/Emma Dearden/Rosie van Oss/Flo Hapgood/,James McAndrew/Emma-Louise Amanshia/Chelsea Jayne Wright/Philip Geller/Chelsea Jayne Wright/Philip Geller/James Herbert/Robert Leventhall/Joseph Heil/Aubrey Turner/Tom Selves/Nick Stevenson/Tom Selves/Chelsea Jayne Wright/Jo Estrin/Jess Courtney/Emily Heaton/Wawa Hunja/Tessa Denney/Aubrey Turner/Tyler-Antonia Gordon/Nick Barker/Sophie Tebbutt/Emma-Louise Amanshia/James McAndrew/Jess Courtney/,2013-06-12,/years/12_13/boeing_boeing/,Marc Camoletti,by Marc Camoletti,by Marc Camoletti,<a href='/years/12_13/boeing_boeing/'><img src='https://photos.smugmug.com/photos/i-fMtX5q6/0/d7b4e259/128x162/i-fMtX5q6-128x162.jpg' class='search-result-poster-thumb' alt='Boeing Boeing poster' /></a>,12-15 June 2013,In House,Boeing Boeing,show,New Theatre,2012-13
NA,Lyle Fulton/Joseph Heil/Joseph Heil/Will Pimblett/,2013-06-01,/years/12_13/bright_ideas/,null,Playwright Unknown,Playwright Unknown,NA,1 June 2013,Fundraiser,Bright Ideas,show,New Theatre,2012-13
James Bentley/James Pardon/Amelia Gann/Ben Hollands/Ben Williamson/,Andy Routledge/Alice Ratcliffe/Wawa Hunja/Will Pimblett/Nick Barker/Emma-Louise Amanshia/Joseph Heil/Peter Bradley/Alex Jamieson/Tom Selves/Rory O'Shea/Zoe Plummer/Zoe Moulton/Claire Lennox/Davina Shevonne Sinnatamby/Ben Hollands/Dimitrios Darzentas/Nick Barker/,2013-05-01,/years/12_13/east/,Steven Berkoff,by Steven Berkoff,by Steven Berkoff,<a href='/years/12_13/east/'><img src='https://photos.smugmug.com/photos/i-C6fdqZM/0/1f106d84/128x162/i-C6fdqZM-128x162.jpg' class='search-result-poster-thumb' alt='East poster' /></a>,1-4 May 2013,In House,East,show,New Theatre,2012-13
Nick Barker/Ginny Lee/,Chelsea Jayne Wright/Emily Heaton/Tessa Denney/Jess Courtney/Philip Geller/Jo Estrin/Meghan Seely/Rosie Cave/Judith Marfo/Michael Ferdenzi/Joseph Heil/Louisa Morrison/Emily Heaton/Rachel Considine/Jason Flynn/Jess Courtney/,2013-04-24,/years/12_13/educating_rita/,Willy Russell,by Willy Russell,by Willy Russell,<a href='/years/12_13/educating_rita/'><img src='https://photos.smugmug.com/photos/i-crPgHNk/0/842fd83f/128x162/i-crPgHNk-128x162.jpg' class='search-result-poster-thumb' alt='Educating Rita poster' /></a>,24-27 April 2013,In House,Educating Rita,show,New Theatre,2012-13
Lydia Hawthorn/Sam Hayward/Daniella Blackford/John Bell/Rhianna Grazier/Will Randall/,Jonathon Newsome/Jess Courtney/Davina Shevonne Sinnatamby/Emily Heaton/,2013-04-29,/years/12_13/eight/,Ella Hickson,by Ella Hickson,by Ella Hickson,<a href='/years/12_13/eight/'><img src='https://photos.smugmug.com/photos/i-Z7brV7W/0/1d1cc9eb/128x162/i-Z7brV7W-128x162.jpg' class='search-result-poster-thumb' alt='Eight poster' /></a>,29-30 April 2013,UNCUT,Eight,show,New Theatre Studio B,2012-13
